corpus,liberal_score,tsne_x,tsne_y
Bible (KJV),0.1339348554611206,4.566533,-27.771511
Bible (KJV),-0.018357599154114723,-4.026157,11.475598
Bible (KJV),0.021662168204784393,9.113326,19.3951
Bible (KJV),0.08888915926218033,11.222703,21.051765
Bible (KJV),0.07936547696590424,8.426135,14.695172
Bible (KJV),0.0372890867292881,6.6781597,9.651464
Bible (KJV),0.07996973395347595,3.7769196,13.287928
Bible (KJV),0.028572067618370056,4.9566836,11.529026
Bible (KJV),-0.036065563559532166,-15.318093,10.327602
Bible (KJV),-0.00825930293649435,-8.853715,12.9391575
Bible (KJV),0.04598739370703697,-7.46002,9.192957
Bible (KJV),0.03234877437353134,-12.361256,15.647918
Bible (KJV),0.08906865864992142,-8.525373,-10.801268
Bible (KJV),0.1164834201335907,3.8468437,-1.5190878
Bible (KJV),0.11719341576099396,2.48746,5.002101
Bible (KJV),0.04720526933670044,0.25900286,4.503035
Bible (KJV),0.05644949525594711,-5.384424,4.2907395
Bible (KJV),0.06975851953029633,-13.543065,3.3344455
Bible (KJV),0.006086017936468124,10.029869,7.8196135
Bible (KJV),0.04481527581810951,-4.2270184,10.391456
Bible (KJV),0.1621806025505066,4.664516,16.10718
Bible (KJV),-0.011549659073352814,-1.8482478,9.596801
Bible (KJV),0.08757982403039932,0.62104195,6.627563
Bible (KJV),0.049338504672050476,-1.0537862,9.210159
Bible (KJV),0.05122267082333565,8.486877,10.9291525
Bible (KJV),0.08925992250442505,0.23443882,8.614163
Bible (KJV),0.04767848551273346,-4.40566,6.935307
Bible (KJV),0.0016310475766658783,-1.8099163,-2.1127923
Bible (KJV),-0.08810043334960938,0.11937537,24.65597
Bible (KJV),-0.02423340454697609,-3.6016333,5.764618
Bible (KJV),0.03496482968330383,-1.6914006,6.504916
Bible (KJV),-0.002072814851999283,-0.8632357,7.0966015
Bible (KJV),0.013471712358295918,-2.4055827,5.800098
Bible (KJV),0.00564933568239212,-2.7837117,7.932221
Bible (KJV),0.004571074619889259,0.12221591,24.605103
Bible (KJV),-0.0041901543736457825,-8.011591,14.163868
Bible (KJV),-0.045528918504714966,0.8224763,25.381836
Bible (KJV),0.07221835851669312,3.300387,10.231572
Bible (KJV),0.02604801207780838,0.79441696,1.9477285
Bible (KJV),0.06523279845714569,9.295782,9.404526
Bible (KJV),0.048010848462581635,2.5330558,6.8349094
Bible (KJV),0.08699522912502289,12.158694,-2.0441506
Bible (KJV),0.04663185030221939,12.254819,1.451382
Bible (KJV),0.14672648906707764,12.577859,-8.229893
Bible (KJV),0.08808118104934692,8.964605,-3.664015
Bible (KJV),0.18890729546546936,6.866243,-1.3889705
Bible (KJV),0.1656109094619751,6.4825125,-0.91814435
Bible (KJV),0.1662389039993286,4.7741356,-3.2199137
Bible (KJV),0.1232970803976059,4.8432155,-0.04684126
Bible (KJV),0.12311708182096481,11.295408,8.509926
Bible (KJV),0.13646957278251648,-0.32681724,-0.6353689
Bible (KJV),0.11281106621026993,0.52426356,-0.0070051923
Bible (KJV),0.07024583220481873,1.4070745,-1.8660537
Bible (KJV),0.21703296899795532,9.185805,-5.5975094
