corpus,liberal_score,tsne_x,tsne_y
Bible (KJV),0.1339348554611206,18.369987,-20.390947
Bible (KJV),0.059371959418058395,-4.579125,-11.805654
Bible (KJV),-0.020067185163497925,-12.702261,12.571698
Bible (KJV),0.10411472618579865,-10.44594,5.642929
Bible (KJV),-0.006204098463058472,-17.247835,15.293664
Bible (KJV),-0.03311188519001007,-27.001825,3.723778
Bible (KJV),0.05046630650758743,-11.041877,-8.693786
Bible (KJV),0.028627682477235794,-24.96717,9.019124
Bible (KJV),0.12982064485549927,-6.266254,-4.7309365
Bible (KJV),0.03803591430187225,-7.676717,-5.4096484
Bible (KJV),0.10158981382846832,1.1348724,3.700742
Bible (KJV),0.07755009084939957,-3.6111226,23.297192
Bible (KJV),0.060980357229709625,-1.673881,11.338631
Bible (KJV),0.03078426420688629,-2.2361372,24.597363
Bible (KJV),0.06842456012964249,14.376631,6.4801474
Bible (KJV),0.13211055099964142,11.475728,20.004822
Bible (KJV),0.06304456293582916,-3.1787453,17.648596
Bible (KJV),0.13161242008209229,5.3465776,18.31861
Bible (KJV),0.14241397380828857,-7.2086635,21.09196
Bible (KJV),0.042597319930791855,-6.545206,17.514658
Bible (KJV),0.10142861306667328,1.9535094,5.9915648
Bible (KJV),0.06699690222740173,-4.740628,13.3277855
Bible (KJV),0.06131800264120102,19.840994,5.972482
Bible (KJV),0.09748617559671402,4.067998,14.740974
Bible (KJV),0.12235375493764877,-11.625433,3.1091518
Bible (KJV),0.08824824541807175,-1.0690272,0.8530644
Bible (KJV),0.15532255172729492,3.6851106,7.1125927
Bible (KJV),0.22776266932487488,2.5471601,1.2182457
Bible (KJV),0.09032506495714188,-8.542284,6.8858867
Bible (KJV),0.04891325533390045,-7.5223155,4.989579
Bible (KJV),0.08224528282880783,-10.570829,3.659798
Bible (KJV),0.004896910861134529,-13.39606,2.2408657
Bible (KJV),-0.012963254004716873,-20.616806,0.46051484
Bible (KJV),0.10849828273057938,-9.63851,4.4262986
Bible (KJV),0.04978453740477562,-6.7860646,-3.603684
Bible (KJV),0.09433472156524658,-15.190445,3.416042
Bible (KJV),0.12803079187870026,-10.941742,-1.252833
Bible (KJV),0.07256569713354111,-15.6308975,14.965959
Bible (KJV),0.00823255255818367,-1.5515,14.441315
Bible (KJV),-0.00118158757686615,-17.191168,1.9869349
Bible (KJV),0.008934557437896729,-18.050203,5.160305
Bible (KJV),0.09616647660732269,-15.144576,6.0005774
Bible (KJV),0.03724569082260132,-16.695953,5.3690395
Bible (KJV),0.018225014209747314,-18.839994,5.024811
Bible (KJV),0.06980621069669724,-17.272215,-3.6951811
Bible (KJV),0.08158226311206818,-18.823246,2.922703
Bible (KJV),0.04839962720870972,-21.824684,-4.36404
Bible (KJV),0.07112031430006027,-6.2849936,25.79262
Bible (KJV),-0.018468089401721954,-21.803816,-4.0151544
Bible (KJV),-0.06015632301568985,-18.577446,-3.4250336
Bible (KJV),0.004729211330413818,-12.043311,5.453655
Bible (KJV),0.04777543991804123,-10.836332,11.1663885
Bible (KJV),-0.0807763934135437,-16.400145,-2.2606049
Bible (KJV),-0.022133072838187218,-18.596981,-3.3919551
Bible (KJV),-0.07877003401517868,-19.11545,-0.30209097
Bible (KJV),-0.0026970887556672096,-24.441875,3.4711726
Bible (KJV),-0.0004914319142699242,-24.572834,2.5085404
Bible (KJV),0.12148071080446243,-0.8732173,5.629958
Bible (KJV),0.04858273267745972,-24.91556,0.5255028
Bible (KJV),-0.03171242028474808,-4.72513,26.228008
Bible (KJV),0.010457959026098251,-18.831818,2.664524
Bible (KJV),0.05572386085987091,-15.332901,3.4674814
Bible (KJV),-0.01365713868290186,-20.121044,-1.5660973
Bible (KJV),0.015433592721819878,-19.469143,-0.26686528
Bible (KJV),0.06050770729780197,-17.859797,-0.41582483
Bible (KJV),0.019106769934296608,-24.854868,3.9544163
Bible (KJV),0.08866703510284424,-12.366625,0.2400845
Bible (KJV),0.027937479317188263,-11.02065,19.818632
Bible (KJV),0.09187981486320496,-16.931103,0.01237305
Bible (KJV),0.21506133675575256,11.895646,1.135496
Bible (KJV),0.11284807324409485,6.5890546,-3.2505906
Bible (KJV),0.11172779649496078,-1.3718604,4.829922
Bible (KJV),0.11761535704135895,8.617309,2.0452917
Bible (KJV),0.1300429403781891,9.44199,2.192105
Bible (KJV),0.15688452124595642,-2.2794492,4.6617517
Bible (KJV),0.041237566620111465,-4.322039,6.565831
Bible (KJV),0.15089085698127747,-2.1301417,9.988192
Bible (KJV),0.0683424100279808,2.2120852,5.719012
Bible (KJV),0.012108739465475082,-5.2545686,5.776905
Bible (KJV),0.09315599501132965,-2.801169,5.455459
Bible (KJV),0.1544271558523178,10.663758,2.686842
Bible (KJV),0.11995232105255127,10.923121,2.93831
Bible (KJV),0.07645471394062042,8.671077,0.57422996
Bible (KJV),0.1464073657989502,11.861746,1.7755356
Bible (KJV),0.011679787188768387,9.658085,0.54174817
Bible (KJV),0.11322586238384247,-10.30548,0.7316599
Bible (KJV),0.1312042474746704,-6.0957646,-2.371509
Bible (KJV),0.08774307370185852,-3.0912237,3.8825603
Bible (KJV),0.10665594786405563,-3.3421197,2.0028803
Bible (KJV),0.12913627922534943,-1.59466,3.5197926
Bible (KJV),0.21482177078723907,0.7366718,9.615247
Bible (KJV),0.12294326722621918,0.021902304,8.897418
Bible (KJV),0.16207432746887207,13.358368,3.3556318
